Node,Latitude,Longitude
Junction_1236,335828.360852,4693479.686418
Junction_1237,335808.959044,4693487.4034
Junction_1238,335808.9211,4693489.512268
Junction_1239,335808.336165,4693487.459065
Junction_124,338968.242262,4696029.153558
Junction_1240,335808.400591,4693489.517174
Junction_1241,335807.718192,4693487.51428
Junction_1242,335807.78502,4693489.524682
Junction_1243,335746.799843,4693494.937518
Junction_1244,335746.42095,4693495.941793
Junction_1245,335730.158566,4693498.968035
Junction_1246,335730.320005,4693499.503962
Junction_1247,335729.332199,4693499.24566
Junction_1248,335729.150436,4693498.232074
Junction_1249,335723.256288,4693502.622212
Junction_125,338924.861039,4696031.95719
Junction_1250,335722.765564,4693501.18503
Junction_1251,335709.753134,4693507.812487
Junction_1252,335707.971298,4693502.965514
Junction_1253,335699.824113,4693511.320943
Junction_1254,335698.472231,4693507.896034
Junction_1255,335689.061466,4693514.395241
Junction_1256,335688.186943,4693511.0278
Junction_1257,335679.790065,4693516.391628
Junction_1258,335681.257533,4693516.080714
Junction_1259,335684.090048,4693528.699332
Junction_126,338102.187083,4696425.597856
Junction_1260,335680.039557,4693529.547575
Junction_1261,335688.588062,4693561.490011
Junction_1262,335687.754236,4693561.562195
Junction_1263,335688.815779,4693570.418911
Junction_1264,335688.216077,4693570.594016
Junction_1265,335690.811415,4693581.065422
Junction_1266,335689.621822,4693581.451924
Junction_1267,335693.637923,4693594.986214
Junction_1268,335698.233251,4693594.274531
Junction_1269,335744.041165,4693634.393987
Junction_127,338066.36731,4696294.239965
Junction_1270,335741.638603,4693637.525753
Junction_1271,335738.424691,4693630.435304
Junction_1272,335736.795184,4693633.458793
Junction_1273,335863.610258,4693711.031233
Junction_1274,335863.621421,4693711.008907
Junction_1275,335712.328848,4693691.577264
Junction_1276,335711.443312,4693693.736041
Junction_1277,335868.039592,4693703.204973
Junction_1278,335867.553823,4693702.924896
Junction_1279,335864.548306,4693709.162046
Junction_128,337970.788695,4696250.696251
Junction_1280,335873.807493,4693693.512329
Junction_1281,335702.160548,4693718.40211
Junction_1282,335708.443301,4693721.208745
Junction_1283,335705.865684,4693707.668898
Junction_1284,335704.292543,4693707.232537
Junction_1285,335710.897073,4693695.156353
Junction_1286,335737.049181,4693711.450824
Junction_1287,335737.041923,4693711.461337
Junction_1288,335680.359532,4693668.607981
Junction_1289,335676.483796,4693677.948013
Junction_129,337970.539503,4696250.292178
Junction_1290,335621.00186,4693708.835263
Junction_1291,335620.986942,4693708.810734
Junction_1292,335618.827915,4693709.256106
Junction_1293,335617.966958,4693710.479187
Junction_1294,335680.278437,4693714.3349
Junction_1295,335680.168158,4693714.605016
Junction_1296,335679.98239,4693714.248198
Junction_1297,335680.177719,4693713.838018
Junction_1298,335677.863661,4693713.627672
Junction_1299,335684.45943,4693716.279125
Junction_13,336046.227192,4694459.408632
Junction_130,337952.815209,4696276.866481
Junction_1300,335679.253637,4693702.802152
Junction_1301,335679.262848,4693702.803303
Junction_1302,335683.120113,4693690.605026
Junction_1303,335683.136382,4693690.612635
Junction_1304,335723.127237,4693700.555072
Junction_1305,335723.462479,4693700.169871
Junction_1306,335827.661333,4693771.637367
Junction_1307,335827.798644,4693771.468619
Junction_1308,335823.199561,4693773.401231
Junction_1309,335825.0699,4693770.130603
Junction_131,337971.327826,4696251.607017
Junction_1310,335846.505539,4693783.808612
Junction_1311,335844.830929,4693786.586563
Junction_1312,335840.916147,4693779.907996
Junction_1313,335839.180766,4693782.433903
Junction_1314,335744.945273,4693718.994854
Junction_1315,335745.346142,4693718.341289
Junction_1316,335745.88287,4693719.528528
Junction_1317,335747.6603,4693727.535099
Junction_1318,335750.741056,4693722.81913
Junction_1319,335755.466487,4693725.901688
Junction_132,337972.071045,4696250.993349
Junction_1320,335755.467338,4693725.900036
Junction_1321,335773.34361,4693737.783794
Junction_1322,335772.923368,4693738.333838
Junction_1323,335777.571008,4693740.831712
Junction_1324,335779.283963,4693738.140362
Junction_1325,335778.70904,4693741.652222
Junction_1326,335780.444321,4693738.736009
Junction_1327,335784.850528,4693747.10135
Junction_1328,335785.380248,4693746.23048
Junction_1329,335785.940854,4693748.033691
Junction_133,337953.04728,4696277.123632
Junction_1330,335786.676315,4693747.101049
Junction_1331,335793.801704,4693751.89456
Junction_1332,335795.619181,4693749.267835
Junction_1333,335801.912597,4693756.65368
Junction_1334,335803.115805,4693754.214875
Junction_1335,336306.477789,4694538.857569
Junction_1336,336306.869598,4694538.470466
Junction_1337,336303.067798,4694535.155186
Junction_1338,336303.029503,4694535.195333
Junction_1339,336301.585013,4694533.545202
Junction_134,337966.330727,4696287.501278
Junction_1340,336302.049056,4694533.098178
Junction_1341,336298.809314,4694530.531424
Junction_1342,336297.818004,4694531.374511
Junction_1343,336305.825325,4694518.151435
Junction_1344,336303.649779,4694516.79735
Junction_1345,336304.393099,4694520.43736
Junction_1346,336308.065197,4694523.158896
Junction_1347,336294.548377,4694521.610533
Junction_1348,336295.050515,4694521.178027
Junction_1349,336289.332973,4694521.17227
